2026-04-18 12:19:00,961 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Lec-29.pdf
2026-04-18 12:19:01,070 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\rigidpavement-161105060018.pdf
2026-04-18 12:19:01,104 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Significant changes to the July 04 2012 M Standard Plans(1).pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\Significant changes to the July 04 2012 M Standard Plans(1).pdf
2026-04-18 12:19:01,122 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img1.gif
2026-04-18 12:19:01,122 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img10.gif
2026-04-18 12:19:01,124 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img100.gif
2026-04-18 12:19:01,124 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img101.gif
2026-04-18 12:19:01,124 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img102.gif
2026-04-18 12:19:01,124 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img103.gif
2026-04-18 12:19:01,124 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img104.gif
2026-04-18 12:19:01,134 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img105.gif
2026-04-18 12:19:01,136 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img106.gif
2026-04-18 12:19:01,136 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img107.gif
2026-04-18 12:19:01,137 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img108.gif
2026-04-18 12:19:01,137 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img109.gif
2026-04-18 12:19:01,137 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img11.gif
2026-04-18 12:19:01,139 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img110.gif
2026-04-18 12:19:01,140 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img111.gif
2026-04-18 12:19:01,140 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img112.gif
2026-04-18 12:19:01,140 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img113.gif
2026-04-18 12:19:01,141 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img114.gif
2026-04-18 12:19:01,142 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img115.gif
2026-04-18 12:19:01,142 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img116.gif
2026-04-18 12:19:01,142 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img117.gif
2026-04-18 12:19:01,144 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img118.gif
2026-04-18 12:19:01,144 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img119.gif
2026-04-18 12:19:01,145 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img12.gif
2026-04-18 12:19:01,145 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img120.gif
2026-04-18 12:19:01,145 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img121.gif
2026-04-18 12:19:01,145 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img122.gif
2026-04-18 12:19:01,145 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img123.gif
2026-04-18 12:19:01,147 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img124.gif
2026-04-18 12:19:01,147 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img125.gif
2026-04-18 12:19:01,148 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img126.gif
2026-04-18 12:19:01,149 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img127.gif
2026-04-18 12:19:01,149 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img128.gif
2026-04-18 12:19:01,150 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img129.gif
2026-04-18 12:19:01,152 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img13.gif
2026-04-18 12:19:01,153 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img130.gif
2026-04-18 12:19:01,153 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img131.gif
2026-04-18 12:19:01,155 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img132.gif
2026-04-18 12:19:01,156 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img133.gif
2026-04-18 12:19:01,156 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img134.gif
2026-04-18 12:19:01,157 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img135.gif
2026-04-18 12:19:01,158 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\Rigid pavement design_files\img136.gif
